latitude,longitude,name,class,mass,year,imageUrl
50.31126432,35.82658568,30453,TRUE,7,2023,
49.6863717,37.66672531,30452,TRUE,9,2023,
49.70093072,37.66558085,30451,TRUE,4,2023,
49.21798465,37.78544057,30450,TRUE,8,2023,
49.39425644,36.8727434,30448,TRUE,7,2023,
49.13870001,37.225152,30445,TRUE,9,2023,
48.89424,37.01318003,30441,TRUE,4,2023,
50.60060208,30.75764,30440,TRUE,2,2023,
50.34998004,30.18858,30437,TRUE,4,2023,
50.910561,34.80566,30435,FALSE,1,2022,
50.910561,34.80566,30434,FALSE,6,2023,
49.42421801,37.052025,30433,TRUE,9,2023,
49.12428901,37.707647,30432,TRUE,7,2023,
49.81758002,36.05526998,30431,TRUE,6,2023,
50.23641142,36.21130909,30430,TRUE,1,2022,
50.23443501,36.23671497,30429,TRUE,2,2022,
49.17767153,36.85838782,30428,TRUE,7,2022,
50.2308927,35.95050094,30427,TRUE,7,2022,
49.38626671,36.8910864,30426,TRUE,5,2022,
49.13125001,37.23175,30423,TRUE,8,2022,
47.84776002,35.19049499,30422,FALSE,1,2023,
49.38585121,36.889758,30420,TRUE,6,2023,
49.5329548,37.72847646,30419,TRUE,4,2023,
50.35164326,30.95076,30418,TRUE,10,2023,
50.910561,34.80566,30416,FALSE,4,2023,
47.65422311,35.65873,30415,TRUE,10,2023,
49.17918601,37.394856,30412,TRUE,5,2022,
49.83626175,36.72362,30411,TRUE,7,2022,
49.33865123,37.66478,30410,TRUE,1,2023,
50.43034178,30.28385,30409,TRUE,8,2023,
50.21393943,36.15715,30408,TRUE,10,2022,
49.65672401,36.730098,30406,TRUE,4,2022,
49.66238901,36.735721,30405,TRUE,2,2023,
50.25186656,35.85556,30404,TRUE,5,2023,
49.14186001,37.24351,30403,TRUE,9,2022,
49.62075752,37.70796989,30401,TRUE,2,2023,
50.29689002,36.93789,30397,TRUE,1,2022,
50.0480637,36.27625903,30396,TRUE,7,2023,
49.85951125,36.83577946,30392,TRUE,1,2022,
48.37802779,37.90875,30391,TRUE,3,2023,
50.34878178,30.4544,30388,TRUE,5,2022,
49.40351001,37.081994,30386,TRUE,5,2022,
50.584981,30.235748,30382,TRUE,7,2023,
50.584981,30.235748,30381,TRUE,5,2022,
50.08476161,36.3804367,30380,TRUE,5,2022,
49.13351861,37.3898827,30378,TRUE,7,2022,
51.36551593,33.89963125,30373,FALSE,1,2023,
49.40981301,37.070023,30372,TRUE,8,2023,
49.26774123,37.80968,30371,TRUE,10,2023,
49.27192193,37.61217029,30370,TRUE,2,2023,
49.29046301,36.798881,30369,TRUE,4,2023,
49.47689001,36.89333,30368,TRUE,6,2023,
49.38891301,36.874842,30367,TRUE,1,2022,
49.38316401,36.895366,30366,TRUE,6,2022,
49.05467501,37.114632,30364,TRUE,5,2023,
50.11090034,36.27536994,30362,TRUE,9,2022,
49.82657203,37.61248,30361,TRUE,3,2023,
49.62291912,36.74441244,30360,TRUE,4,2023,
49.62157721,36.746234,30359,TRUE,8,2023,
49.15070619,37.07738381,30358,TRUE,3,2023,
49.76695413,37.03633,30357,TRUE,1,2022,
47.97297117,35.85203,30356,TRUE,8,2022,
49.39177618,27.12446505,30355,FALSE,1,2022,
49.97349204,36.49574,30354,TRUE,7,2023,
49.73126232,36.84961,30353,TRUE,3,2023,
49.77668546,36.81364,30352,TRUE,7,2022,
51.503653,31.293167,30351,TRUE,3,2022,
49.08666321,37.3509608,30348,TRUE,9,2022,
50.04302456,36.29124688,30347,TRUE,1,2023,
50.46061207,31.4408,30346,TRUE,4,2022,
49.75054174,37.05624272,30345,TRUE,5,2023,
49.4333333,32.0666667,30344,TRUE,8,2023,
51.38867214,31.20363,30343,TRUE,7,2023,
49.32444032,37.52424696,30342,TRUE,2,2022,
49.34428481,37.7702949,30341,TRUE,10,2023,
49.41076303,37.72876254,30340,TRUE,2,2022,
49.05435901,37.106641,30339,TRUE,6,2022,
49.49767801,36.84407,30338,TRUE,10,2022,
50.0347643,36.28392109,30337,TRUE,9,2023,
51.69693319,34.13962,30334,FALSE,5,2022,
50.17603764,36.27657451,30333,TRUE,4,2022,
50.51092343,29.80774,30331,TRUE,5,2023,
49.69508261,36.8043886,30330,TRUE,4,2023,
49.69849681,36.8098764,30329,TRUE,3,2023,
50.46098609,29.81188,30328,TRUE,10,2023,
49.15955001,37.04295,30325,TRUE,6,2022,
50.02411062,36.33831502,30324,TRUE,7,2023,
49.68089392,36.86610493,30323,TRUE,7,2022,
49.71366055,36.85240075,30322,TRUE,2,2023,
49.7565649,37.58316291,30320,TRUE,3,2022,
